pid,product_name,brand,product_url,retail_price,discounted_price,product_rating
ACCDRSJR2EEPBYUG,Rock Flip Cover for Apple iPad Mini Retina,Rock,http://www.flipkart.com/rock-flip-cover-apple-ipad-mini-retina/p/itmdrsjsghs9xrgz?pid=ACCDRSJR2EEPBYUG,1699,1199,4.3
ACCDRSJRAKAQZK2V,Rock Flip Cover for Apple iPad Mini Retina,Rock,http://www.flipkart.com/rock-flip-cover-apple-ipad-mini-retina/p/itmdrsjs8u26grsh?pid=ACCDRSJRAKAQZK2V,2499,1099,No rating available
ACCDS2HWGTMJGVHP,Rock Flip Cover for iPad Air,Rock,http://www.flipkart.com/rock-flip-cover-ipad-air/p/itmds2gzahfxm9mu?pid=ACCDS2HWGTMJGVHP,1999,1499,3
ACCDSB6EJXB8B9GG,Airplus Book Cover for iPad Air,Airplus,http://www.flipkart.com/airplus-book-cover-ipad-air/p/itmdsb6edatn75uh?pid=ACCDSB6EJXB8B9GG,2599,1499,4
ACCDSUZJGMZD9FHZ,DGB HP 500 520 HSTNN-IB44 6 Cell Laptop Battery,DGB,http://www.flipkart.com/dgb-hp-500-520-hstnn-ib44-6-cell-laptop-battery/p/itmdsuzkeegqgheu?pid=ACCDSUZJGMZD9FHZ,2499,1349,2.5
ACCDSWHWFDAK95ZT,Dicapac Grip Back Cover for Galaxy Note,Dicapac,http://www.flipkart.com/dicapac-grip-back-cover-galaxy-note/p/itmdswhx2ggepzya?pid=ACCDSWHWFDAK95ZT,1490,1350,4
ACCDSY8E3XGY8UFZ,HP Pavilion DV6-2059eo 6 Cell Laptop Battery,HP,http://www.flipkart.com/hp-pavilion-dv6-2059eo-6-cell-laptop-battery/p/itmdsy8eyvzfpsgk?pid=ACCDSY8E3XGY8UFZ,4984,4984,No rating available
ACCDSY8EAED5TGZY,HP PavilionDV5-1019tx 6 Cell Laptop Battery,HP,http://www.flipkart.com/hp-paviliondv5-1019tx-6-cell-laptop-battery/p/itmdsy8ehurazegm?pid=ACCDSY8EAED5TGZY,4999,4999,No rating available
ACCDSY8EDTGSEZD5,HP Pavilion G71 6 Cell Laptop Battery,HP,http://www.flipkart.com/hp-pavilion-g71-6-cell-laptop-battery/p/itmdsy8efthkznwf?pid=ACCDSY8EDTGSEZD5,4999,3515,No rating available
ACCDSY8EGJPW7RJB,HP Pavilion DV7t-6100 Series 6 Cell Laptop Battery,HP,http://www.flipkart.com/hp-pavilion-dv7t-6100-series-6-cell-laptop-battery/p/itmdsy8eyvbpuubm?pid=ACCDSY8EGJPW7RJB,4999,4999,No rating available
